top - 01:46:18 up 8 min,  3 users,  load average: 0.92, 1.65, 0.92
Tasks: 334 total,   3 running, 331 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.0 us, 25.0 sy,  0.0 ni, 25.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   4050.4 total,    429.8 free,   3482.9 used,    325.0 buff/cache     
MiB Swap:    512.0 total,    400.5 free,    111.5 used.    567.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8347 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8348 fcurrie   20   0  264528  34272  10208 S   0.0   0.8   0:00.36 pio
   8428 fcurrie   20   0   50688  39376   9680 S   0.0   0.9   0:00.29 python
   8465 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8466 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.31 pio
   8514 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   8526 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8527 fcurrie   20   0  264528  34320  10256 S   0.0   0.8   0:00.33 pio
   8575 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.24 python
   8587 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8588 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.33 pio
   8636 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
   8648 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8649 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.32 pio
   8697 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   8709 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8710 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.33 pio
   8758 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
   8770 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   8771 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.32 pio
   8819 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
   8831 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8832 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.32 pio
   8880 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.26 python
   8892 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   8893 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.32 pio
   8941 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   8953 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   8954 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.32 pio
   9002 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   9014 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9015 fcurrie   20   0  264528  34768  10704 S   0.0   0.8   0:00.30 pio
   9063 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   9075 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9076 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.32 pio
   9124 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.24 python
   9136 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9137 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.31 pio
   9185 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.25 python
   9197 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9198 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.30 pio
   9246 fcurrie   20   0   50688  39376   9680 S   0.0   0.9   0:00.25 python
   9258 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9259 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.32 pio
   9307 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   9319 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9320 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.32 pio
   9368 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.28 python
   9447 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9448 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.34 pio
   9520 fcurrie   20   0   50688  38784   9600 S   0.0   0.9   0:00.27 python
   9532 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9533 fcurrie   20   0  264528  33744   9680 S   0.0   0.8   0:00.33 pio
   9581 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   9593 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9594 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.32 pio
   9642 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
   9654 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9655 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.32 pio
   9703 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.26 python
   9715 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9716 fcurrie   20   0  264528  34736  10672 S   0.0   0.8   0:00.30 pio
   9764 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
   9776 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9777 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.32 pio
   9825 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.25 python
   9837 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9838 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.33 pio
   9886 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.27 python
   9898 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
   9899 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.31 pio
   9947 fcurrie   20   0   50688  39392   9696 S   0.0   0.9   0:00.26 python
   9959 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
   9960 fcurrie   20   0  264528  34160  10096 S   0.0   0.8   0:00.32 pio
  10008 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
